id,title,artist,disc_number,track_number,duration_ms,rate,superstar,rate_date
6hFkKXoTWKJshmCcrHkOi6,Safety in the Sun,Nitsua,1,1,177813,7,False,2026-07-01
4xn4zu4oFFoWTOfBXkipED,Withdrawn,"Nitsua, Substantial",1,2,155440,10,True,2026-07-01
567t3Wgd6jwrLX6eSbl85O,Oceanside,Nitsua,1,3,150706,7,False,2026-07-01
1HMtl6inpHowSjJn0CfB4m,Sea of Dreams,"Nitsua, Apollo Bebop, Grover, Brian to Earth",1,4,328946,8,True,2026-07-01
6XTH36gIaOzjXMLLZvEC8V,Neon Pink and Blue,"Nitsua, Mindfieldsound",1,5,194026,8,True,2026-07-01
0bi68PQXUqqJZq5sxYXOxk,Coffee Princess,Nitsua,1,6,273120,7,False,2026-07-01
4dL0SVngyO7GD6DjH6Wpen,Pianoverse,Nitsua,1,7,219973,9,True,2026-07-01
7dPAGdBVkjDgvFTQI73yAj,Far Travels,Nitsua,1,8,319520,7,False,2026-07-01
00ETgmjfAumMyR4tbGO5Em,Memoriam,"Nitsua, reciteall, Ald.",1,9,232500,9,True,2026-07-01
5T2y1FrMkPiD7fWc4N14zF,Enderzone,Nitsua,1,10,86466,6,False,2026-07-01
2mb6adjSS9kJfjOhDKHmtZ,For Friends Lost,Nitsua,1,11,448053,8,False,2026-07-01
