id,title,artist,disc_number,track_number,duration_ms,rate,superstar,rate_date
7hzm68uGbxcvQY9FAtpk2s,battlecry,"Nujabes, Shing02",1,1,202066,8,False,2026-07-01
6LFA71PCn0k6Lx4OWQjn8E,the space between two world,Nujabes,1,2,281933,7,False,2026-07-01
4sUTagdmyuyAxd7RvbygpQ,aruarian dance,Nujabes,1,3,250433,9,True,2026-07-01
29iWSJ7aXqPuljJ5bARZHR,transcendence,Nujabes,1,4,421500,7,False,2026-07-01
6kcp50WZovtkPtGQAYzFc4,mystline,Nujabes,1,5,290300,7,False,2026-07-01
7y63srdgJgD6JrnBgvi9A2,1st samurai,Nujabes,1,6,193000,7,False,2026-07-01
1pD2Zq8WCl8GHHuRGDmdjb,ole,fat jon,1,7,207766,7,False,2026-07-01
1tIp7aSvUNZclQAMxJu5bm,624 part2,fat jon,1,8,225633,6,False,2026-07-01
0hwMVgX3DYoikLGpv5AVm8,genome,fat jon,1,9,216866,7,False,2026-07-01
4lKyIrpMaI4zbdaqzcep2q,no way back,fat jon,1,10,200500,6,False,2026-07-01
1xRJdrqQS7TfqD3Pcwlrhz,funkin,fat jon,1,11,217366,6,False,2026-07-01
1UbjlKiVcAAbCK8526B84o,stay,fat jon,1,12,224400,7,False,2026-07-01
5POcY6k98hCrQRm4AZm9z4,chambers,fat jon,1,13,225133,7,False,2026-07-01
6DQtaTZLuUYbgXhBmmr9p4,ask,fat jon,1,14,202266,7,True,2026-07-01
1rw2NBxpak9F4dvOjpBWuk,how you feel,fat jon,1,15,269133,8,True,2026-07-01
2T0a81z1efj0w2n0ajuZN7,624 part1,fat jon,1,16,163966,7,True,2026-07-01
3IYPLyQDgCJsyRgJ1NWWGv,Shiki no Uta,MINMI,1,17,300033,6,False,2026-07-01
