id,title,artist,disc_number,track_number,duration_ms,rate,superstar,rate_date
3q1qGC38DEGXtYtm6LFecd,Luv (sic),Nujabes,1,1,289026,9,False,2026-07-02
0buTtrWfNRCjZvUsiUxXfm,Luv (sic) pt2,Nujabes,1,2,275440,10,False,2026-07-02
4tAo6uTT26Cu0m6hFBPso9,Luv (sic.) pt3 (feat. Shing02),"Nujabes, Shing02",1,3,374200,8,False,2026-07-02
14FO62M26xJVEMqFOhWjqO,Luv (sic) pt4 (feat. Shing02),"Nujabes, Shing02",1,4,312400,9,True,2026-07-02
2KiPPtZwrnGnidO3GgGOEe,Luv (sic) pt5 (feat. Shing02),"Nujabes, Shing02",1,5,349786,10,False,2026-07-02
3xuphtb2du8Ekmx36iSTGz,Luv (sic) Grand Finale (feat. Shing02),"Nujabes, Shing02",1,6,316760,10,False,2026-07-02
0UwIbG6VaAtREjBDTiPmrb,"Luv (sic) 12"" Remix","Nujabes, 12""",1,7,297800,8,False,2026-07-02
08AT0usvWIaFC7jpogD2Hc,Luv (sic) pt2 Acoustica,Nujabes,1,8,393506,9,False,2026-07-02
6OwxZpERgwEFjgkY4J64Cy,Luv (sic.) pt3 Ta-ku Remix,"Nujabes, Ta-ku",1,9,296146,9,False,2026-07-02
5BK6dlrGj4hqIaC6S9srgJ,Luv (sic) pt4 LASTorder Remix,"Nujabes, LASTorder",1,10,278506,9,False,2026-07-02
5XhVbeWZnWy920Jur5Aa94,Luv (sic) pt5 Jumpster Remix,"Nujabes, Jumpster",1,11,278973,9,False,2026-07-02
0ltBeoel2MyGTCXsJkAhAt,Luv (sic) pt6 Uyama Hiroto Remix,"Nujabes, Uyama Hiroto",1,12,278786,9,False,2026-07-02
0gi7PimteM7FgXcsjpgqX1,Perfect Circle,Nujabes,1,13,240666,9,False,2026-07-02
6410bgfjkJSF6FhBm72RfA,Luv (sic) Instrumentals,Nujabes,2,1,286320,10,False,2026-07-02
3mk55xHXBT4QuNEqGyML44,Luv (sic) pt 2 Instrumentals,Nujabes,2,2,273080,10,False,2026-07-02
5TYsic9ueWyDErTK1DDDvh,Luv (sic.) pt 3 Instrumentals,Nujabes,2,3,374200,4,False,2026-07-02
72nlmWl2EKEPg0mlQpwPqF,Luv (sic) pt 4 Instrumentals,Nujabes,2,4,310733,2,False,2026-07-02
5phoB0Asnr2fvdXdMweEFs,Luv (sic) pt5 Instrumentals,Nujabes,2,5,349800,5,False,2026-07-02
3IiSzFPXqvpZmctUhrEU97,Luv (sic) Grand Finale Instrumentals,Nujabes,2,6,316760,1,False,2026-07-02
2r45uJZGz8sXpRWDeWUiKN,"Luv (sic) 12"" Remix Instrumentals","Nujabes, 12""",2,7,297800,5,False,2026-07-02
2YtnY4AqIVPADIMIFBbmdi,Luv (sic) pt2 Acoustica Instrumentals,Nujabes,2,8,391586,1,False,2026-07-02
63OPLCd1UUipDSs4YBXTz7,Luv (sic.) pt3 Ta-ku Remix Instrumentals,"Nujabes, Ta-ku",2,9,296053,10,False,2026-07-02
0it6SgrFQzpsc1f4a5s1xe,Luv (sic) pt 4 LASTorder Remix Instrumentals,"Nujabes, LASTorder",2,10,278533,6,False,2026-07-02
5t5URsa4P1YW0hsKHBEWoO,Luv (sic) pt5 Jumpster Remix Instrumentals,"Nujabes, Jumpster",2,11,279000,10,False,2026-07-02
6VOiV3yNLl4i4WAxRmERuH,Luv(sic) pt6 Uyama Hiroto Remix Instrumentals,"Nujabes, Uyama Hiroto",2,12,278720,10,False,2026-07-02
5aC2Ej22Hq33VyBNU6Gj2K,Perfect Circle Instrumentals,Nujabes,2,13,240920,9,False,2026-07-02
