id,title,artist,disc_number,track_number,duration_ms,rate,superstar,rate_date
4jFfQ7RE0xIM7GYus8cHnX,Blessing It -remix,"Nujabes, Substantial, Pase Rock",1,1,203706,7,False,2026-07-01
0CGTK2Vj0hRIVfToweLS33,Horn in the middle,Nujabes,1,2,248600,6,False,2026-07-01
11nuN9xWUoKJNohMtyCoJg,Lady Brown,"Nujabes, Cise Starr",1,3,199160,6,False,2026-07-01
2I7ecClzjDbJm7G4NLM0RV,Kumomi,Nujabes,1,4,233626,9,True,2026-07-01
0TUFYfWvZM92I8odn5iT0y,Highs 2 Lows,"Nujabes, Cise Starr",1,5,277960,9,True,2026-07-01
4i6sVhxVeX5Amtdme6Nedk,Beat laments the world,Nujabes,1,6,263826,8,False,2026-07-01
0c16Zl2fquPTRfHmbG4dQQ,Letter from Yokosuka,Nujabes,1,7,189346,8,True,2026-07-01
1lA2o4rAEHCVclR7xcNc11,Think Different,"Nujabes, Substantial",1,8,197293,7,False,2026-07-01
1kF5Tajy8s8HOjhRoTWaXL,A day by atmosphere supreme,Nujabes,1,9,240666,8,False,2026-07-01
5qyzdZKyvup7J8ubeh5LIm,Next view,"Nujabes, Uyama Hiroto",1,10,275693,7,False,2026-07-01
1oiExrUAtcyL9c4wfhwDHB,Latitude -remix,"Nujabes, Five Deez",1,11,236533,9,True,2026-07-01
05WYhK9jcISSe9cfleBV9b,F.I.L.O.,"Nujabes, Shing02",1,12,211226,5,False,2026-07-01
4y2ca7DZFiPgjW9zmnvS2E,Summer Gypsy,Nujabes,1,13,259586,8,True,2026-07-01
5axQcjuKcmhb8HLROC33Ic,The Final View,Nujabes,1,14,215720,8,True,2026-07-01
1Iqx7pI8u21McP11ztockK,Peaceland,Nujabes,1,15,499120,6,False,2026-07-01
