id,title,artist,disc_number,track_number,duration_ms,rate,superstar,rate_date
4aK4LNijbD7kkCg54UoIij,Feather,"Nujabes, Cise Starr, Akin",1,1,175693,10,False,2026-07-01
3lFgO7SCGXkJeDYs1OtqC5,ordinary joe,"Nujabes, Terry Callier",1,2,308040,7,False,2026-07-01
6jfdBc7Vma7hZ6ytt2lZF8,reflection eternal,Nujabes,1,3,260253,8,False,2026-07-01
09LMmJBZmxK9sVVDIjXbFA,Luv (sic.) pt3,"Nujabes, Shing02",1,4,337880,7,False,2026-07-01
6EeDIrJIzn8DnVDwGoylf4,Music is mine,Nujabes,1,5,260466,6,False,2026-07-01
3riQAXw6wKcIzdGO9s0RZQ,Eclipse,"Nujabes, Substantial",1,6,214333,9,False,2026-07-01
2mXcPlpICYKfAmIBSDONuB,The Sign,"Nujabes, Pase Rock",1,7,289800,8,False,2026-07-01
6TkPrGpY43wOi1rdMWHKe9,Thank you,"Nujabes, Apani B",1,8,249373,5,False,2026-07-01
2jHjD4TByFyRpouBrCbqzN,World's end Rhapsody,Nujabes,1,9,341200,8,False,2026-07-01
0pJ4eTabwZwvLc2PPSvRgD,Modal Soul,"Nujabes, Uyama Hiroto",1,10,281160,9,False,2026-07-01
3T0hfg1mIzQi1j6q9J1a1A,flowers,Nujabes,1,11,239666,8,False,2026-07-01
4SUqvLTprZ3ohbDZLKIpbN,sea of cloud,Nujabes,1,12,181773,9,False,2026-07-01
6t7jNB8Tq4CtpH7HQ6tj31,Light on the land,Nujabes,1,13,235000,6,False,2026-07-01
74XS0fe9B2HHmRQREBtlTa,Horizon,Nujabes,1,14,441066,6,False,2026-07-01
