id,title,artist,disc_number,track_number,duration_ms,rate,superstar,rate_date
6iGXGuSA549BdambshhtUz,Cause And Effect - Original Club Mix,UMEK & Groovebox,1,1,447268,9,True,2026-07-02
0vqsbENHzleFZAtldgYUVV,Unclear Mechanics - Original Club Mix,UMEK,1,2,439076,8,False,2026-07-02
1te42PV5UOeSvqA2cGUsyT,Metrum - UMEK Remix,"Fedde Le Grand, UMEK",1,3,420844,9,False,2026-07-02
6gDS22xZT4PcE32NUFuqkr,Jack The Groove - Original Club Mix,UMEK,1,4,453133,7,False,2026-07-02
3OAD6qHezYXATceEI2E3Gv,Let The Bass Kick - Original Club Mix,"UMEK, Beltek",1,5,428578,3,False,2026-07-02
1gdHrK9c0Bsd1NnyU1Y7BY,Love To Dance - Original Club Mix,UMEK,1,6,386803,10,True,2026-07-02
6tFdnRxn3A9Q5qnTQ8JMn8,Mighty Wind - Original Club Mix,"UMEK, DJ Dan",1,7,552587,10,False,2026-07-02
2S2IUFaXNSENNpFhkcZEF0,One More Sound - Original Club Mix,UMEK,1,8,406825,9,True,2026-07-02
1EMGqkuIYAL5BvQXK757uH,Out Of Play - Original Club Mix,"UMEK, Beltek",1,9,401008,10,False,2026-07-02
3xDntsjbhJJsA7NxUtmLLt,Fluid Feel - Original Club Mix,"UMEK, Mike Vale",1,10,454000,9,False,2026-07-02
